query_id,query_type,question,rank,score,above_threshold,source,char_len,chunk_preview
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,1,0.5533,True,ModelT-21-30.txt,483,placed if they peréist in not working properly. There is nothing to be gained by experimenting with different makes of plugs.. The make of plugs with 
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,2,0.5533,True,Ford-Model-T-Man-1919.txt,483,placed if they peréist in not working properly. There is nothing to be gained by experimenting with different makes of plugs.. The make of plugs with 
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,3,0.5378,True,Ford-Model-T-Man-1919-ocr.pdf,511,carbonize quickly. The porcelain and other parts should finally be washed in gasoline and wiped dry with a cloth. oe ~ . _—_   [Page 15] THE FORD ENGI
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,4,0.5226,True,ModelT-11-20-ocr.pdf,511,carbonize quickly. The porcelain and other parts should finally be washed in gasoline and wiped dry with a cloth. oe ~ . _—_   [Page 5] THE FORD ENGIN
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,5,0.5072,True,ModelT-11-20.txt,483,"re should be exercised not to scrape off the glazed surface of the porcelain, | otlierwise it will be apt to carbonize quickly. The porcelain and othe"
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,6,0.5072,True,Ford-Model-T-Man-1919.txt,483,"re should be exercised not to scrape off the glazed surface of the porcelain, | otlierwise it will be apt to carbonize quickly. The porcelain and othe"
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,7,0.5004,True,ModelT-21-30-ocr.pdf,319,placed if they peréist in not working properly. There is nothing to be gained by experimenting with different makes of plugs.. The make of plugs with 
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,8,0.5004,True,Ford-Model-T-Man-1919-ocr.pdf,319,placed if they peréist in not working properly. There is nothing to be gained by experimenting with different makes of plugs.. The make of plugs with 
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,9,0.4906,True,ModelT-51-60-ocr.pdf,504,". Spark plugs dirty. 4. Cbdil vibrator improperly adjusted. | S Air leak in intake manifold. 6. Weak exhaust valve spring. , 7. Too great clearance be"
Q01,narrow_factual,What is the correct spark plug gap for a Model T Ford?,10,0.4906,True,Ford-Model-T-Man-1919-ocr.pdf,504,". Spark plugs dirty. 4. Cbdil vibrator improperly adjusted. | S Air leak in intake manifold. 6. Weak exhaust valve spring. , 7. Too great clearance be"
Q02,procedural,How do I fix a slipping transmission band?,1,0.6008,True,ModelT-31-40.txt,367,ise if they are dropped into the transmission case it is almost impossible to recover them  ‘ée  Bands adjusted? Answer No. TH  The slow.speed band.ma
Q02,procedural,How do I fix a slipping transmission band?,2,0.6008,True,Ford-Model-T-Man-1919.txt,367,ise if they are dropped into the transmission case it is almost impossible to recover them  ‘ée  Bands adjusted? Answer No. TH  The slow.speed band.ma
Q02,procedural,How do I fix a slipping transmission band?,3,0.5783,True,ModelT-31-40-ocr.pdf,427,you against placing any small! toala or objects over or'ip the transmission case without a good wire or cord attached to them. Otherwise if they are d
Q02,procedural,How do I fix a slipping transmission band?,4,0.5783,True,Ford-Model-T-Man-1919-ocr.pdf,427,you against placing any small! toala or objects over or'ip the transmission case without a good wire or cord attached to them. Otherwise if they are d
Q02,procedural,How do I fix a slipping transmission band?,5,0.5144,True,ModelT-31-40-ocr.pdf,381,"osening the lock nut at the tight side of the transmission cover, and turning the adjusting screw (see Cut No. 12)'té tf right. To tighten the brake a"
Q02,procedural,How do I fix a slipping transmission band?,6,0.5144,True,Ford-Model-T-Man-1919-ocr.pdf,381,"osening the lock nut at the tight side of the transmission cover, and turning the adjusting screw (see Cut No. 12)'té tf right. To tighten the brake a"
Q02,procedural,How do I fix a slipping transmission band?,7,0.504,True,ModelT-31-40.txt,387,"he three bands, holding them in the center so that when put@ilg: the transmission cover in place no trouble will be experienced in getting the. pedal "
Q02,procedural,How do I fix a slipping transmission band?,8,0.504,True,Ford-Model-T-Man-1919.txt,387,"he three bands, holding them in the center so that when put@ilg: the transmission cover in place no trouble will be experienced in getting the. pedal "
Q02,procedural,How do I fix a slipping transmission band?,9,0.4901,True,ModelT-31-40.txt,494,r by means of the adjusting sttews. within aspace of two or two and one-sixteenth inches to insure against the clafch slipping. Care should be exercis
Q02,procedural,How do I fix a slipping transmission band?,10,0.4901,True,Ford-Model-T-Man-1919.txt,494,r by means of the adjusting sttews. within aspace of two or two and one-sixteenth inches to insure against the clafch slipping. Care should be exercis
Q03,procedural,How do I adjust the carburetor on a Model T?,1,0.6404,True,ModelT-11-20-ocr.pdf,117,install a new one.   [Page 10] iin Ta i Se nt i This cut illustrates the principle of Ford Carburetion. » (Cut No. 7)
Q03,procedural,How do I adjust the carburetor on a Model T?,2,0.5775,True,ModelT-21-30-ocr.pdf,399,on of float and needle. The quantity of gagoline entering into the mixture is governed by the needle valve (see Answer No. 45). The volume of gas mixt
Q03,procedural,How do I adjust the carburetor on a Model T?,3,0.5775,True,Ford-Model-T-Man-1919-ocr.pdf,399,on of float and needle. The quantity of gagoline entering into the mixture is governed by the needle valve (see Answer No. 45). The volume of gas mixt
Q03,procedural,How do I adjust the carburetor on a Model T?,4,0.5672,True,ModelT-21-30-ocr.pdf,356,"probably be found necessary to turn the dash adjustment one- quarter turn to the left, particularly in starting a cold engine. As gasoline vapor- izes"
Q03,procedural,How do I adjust the carburetor on a Model T?,5,0.5672,True,Ford-Model-T-Man-1919-ocr.pdf,356,"probably be found necessary to turn the dash adjustment one- quarter turn to the left, particularly in starting a cold engine. As gasoline vapor- izes"
Q03,procedural,How do I adjust the carburetor on a Model T?,6,0.5577,True,ModelT-21-30.txt,475,flow of gasoline is resumed. It is plaia to see that a constant level of gasoline is maintained in the carburetor by the auto-  matic action of float 
Q03,procedural,How do I adjust the carburetor on a Model T?,7,0.5577,True,Ford-Model-T-Man-1919.txt,475,flow of gasoline is resumed. It is plaia to see that a constant level of gasoline is maintained in the carburetor by the auto-  matic action of float 
Q03,procedural,How do I adjust the carburetor on a Model T?,8,0.5376,True,Ford-Model-T-Man-1919-ocr.pdf,511,rs be a install a new one.   [Page 20] iin Ta i Se nt i This cut illustrates the principle of Ford Carburetion. » (Cut No. 7)   [Page 21] - . aa - ' a
Q03,procedural,How do I adjust the carburetor on a Model T?,9,0.5343,True,ModelT-21-30-ocr.pdf,444,iver. Why is Carburetor adjustment placed on dash? Answer No. 43 For the convenience of the driver in adjusting the carburetor. After the new car has 
Q03,procedural,How do I adjust the carburetor on a Model T?,10,0.5343,True,Ford-Model-T-Man-1919-ocr.pdf,444,iver. Why is Carburetor adjustment placed on dash? Answer No. 43 For the convenience of the driver in adjusting the carburetor. After the new car has 
Q04,broad_conceptual,What oil should I use in a Model T engine?,1,0.3973,False,ModelT-01-10-ocr.pdf,511,pet cocks. Pour off in sléwly - until it runs out of the upper cock. Leave the cock open until it stopd running— then close it. ‘After the engine has 
Q04,broad_conceptual,What oil should I use in a Model T engine?,2,0.3973,False,Ford-Model-T-Man-1919-ocr.pdf,511,pet cocks. Pour off in sléwly - until it runs out of the upper cock. Leave the cock open until it stopd running— then close it. ‘After the engine has 
Q04,broad_conceptual,What oil should I use in a Model T engine?,3,0.3775,False,Ford-Model-T-Man-1919.txt,369,cting Rad Cam Shaft Rear Bearing Crank Salt Rear Bearing  Sectional View of the Model T Motor.  (Cut No. 2)  . ;  Terminal  ie  | Sree Cm Rit : Starin
Q04,broad_conceptual,What oil should I use in a Model T engine?,4,0.3756,False,ModelT-01-10.txt,512,casing ( reservoir which holds this oil) you will find two pet cocks. Pour off in sléwly - until it runs out of the upper cock. Leave the cock open un
Q04,broad_conceptual,What oil should I use in a Model T engine?,5,0.3756,False,Ford-Model-T-Man-1919.txt,512,casing ( reservoir which holds this oil) you will find two pet cocks. Pour off in sléwly - until it runs out of the upper cock. Leave the cock open un
Q04,broad_conceptual,What oil should I use in a Model T engine?,6,0.3746,False,ModelT-01-10.txt,291,cting Rad Cam Shaft Rear Bearing Crank Salt Rear Bearing  Sectional View of the Model T Motor.  (Cut No. 2)  . ;  Terminal  ie  | Sree Cm Rit : Starin
Q04,broad_conceptual,What oil should I use in a Model T engine?,7,0.373,False,Ford-Model-T-Man-1919.txt,411,"t Lubricating ‘ "" a oe the Rear Axle? Answer No.. his. Extreme care must be used in lubricating the differential, An 4-1 heayy  of semifinid cil, such"
Q04,broad_conceptual,What oil should I use in a Model T engine?,8,0.3681,False,ModelT-51-60.txt,317,"ord splash system, the same aa the engine and transmission. The generator ie lubricated by a splash of oil from the time gears. In addition an oil cup"
Q04,broad_conceptual,What oil should I use in a Model T engine?,9,0.3681,False,Ford-Model-T-Man-1919.txt,317,"ord splash system, the same aa the engine and transmission. The generator ie lubricated by a splash of oil from the time gears. In addition an oil cup"
Q04,broad_conceptual,What oil should I use in a Model T engine?,10,0.3635,False,ModelT-41-50.txt,386,"t Lubricating ‘ "" a oe the Rear Axle? Answer No.. his. Extreme care must be used in lubricating the differential, An 4-1 heayy  of semifinid cil, such"
Q05,multi_section,What are all the steps to prepare a Model T for winter driving?,1,0.4465,True,ModelT-41-50-ocr.pdf,459,", very slowly and carefully, rather than on a flat tire. Remember that fast driving and skidding shorten the life of the tires. Avoid locking the whee"
Q05,multi_section,What are all the steps to prepare a Model T for winter driving?,2,0.4465,True,Ford-Model-T-Man-1919-ocr.pdf,459,", very slowly and carefully, rather than on a flat tire. Remember that fast driving and skidding shorten the life of the tires. Avoid locking the whee"
Q05,multi_section,What are all the steps to prepare a Model T for winter driving?,3,0.406,True,ModelT-01-10-ocr.pdf,511,cold west et of starting th dif to atart the: under such conditions. The usual method of starting the when cold is to turn th. carburetor dash adjustm
Q05,multi_section,What are all the steps to prepare a Model T for winter driving?,4,0.406,True,Ford-Model-T-Man-1919-ocr.pdf,511,cold west et of starting th dif to atart the: under such conditions. The usual method of starting the when cold is to turn th. carburetor dash adjustm
Q05,multi_section,What are all the steps to prepare a Model T for winter driving?,5,0.3749,False,ModelT-01-10.txt,476,"e authorized Ford    ON PE aeee  -1 a ~y  The Car and Its Operation  What must be done before « starting the Car? Answog No, 1  Before trying to start"
Q05,multi_section,What are all the steps to prepare a Model T for winter driving?,6,0.3749,False,Ford-Model-T-Man-1919.txt,476,"e authorized Ford    ON PE aeee  -1 a ~y  The Car and Its Operation  What must be done before « starting the Car? Answog No, 1  Before trying to start"
Q05,multi_section,What are all the steps to prepare a Model T for winter driving?,7,0.3734,False,ModelT-41-50.txt,436,"the pavement in this fashion. Avoid running in street car tracks, in ruts, or bumping the sides of the tire against = curbing.  _ The wheel rims shoul"
Q05,multi_section,What are all the steps to prepare a Model T for winter driving?,8,0.3734,False,Ford-Model-T-Man-1919.txt,436,"the pavement in this fashion. Avoid running in street car tracks, in ruts, or bumping the sides of the tire against = curbing.  _ The wheel rims shoul"
Q05,multi_section,What are all the steps to prepare a Model T for winter driving?,9,0.3546,False,ModelT-01-10-ocr.pdf,489,ll the running speeds needed! for drdinery. Ce ee eee ee ee tine ce wae erties Daye eae File the cutk he Denali the: ‘ ng one   [Page 8] oo * - sit + 
Q05,multi_section,What are all the steps to prepare a Model T for winter driving?,10,0.3546,False,Ford-Model-T-Man-1919-ocr.pdf,489,ll the running speeds needed! for drdinery. Ce ee eee ee ee tine ce wae erties Daye eae File the cutk he Denali the: ‘ ng one   [Page 8] oo * - sit + 
Q06,narrow_factual,How do I start a Model T Ford?,1,0.5565,True,ModelT-01-10-ocr.pdf,334,rfeit parts of é. ‘ by i quality are being made and sold as “Ford Parts.” mvid their use by. dealing with the authorized Ford   [Page 3] ON PE aeee -1
Q06,narrow_factual,How do I start a Model T Ford?,2,0.5565,True,Ford-Model-T-Man-1919-ocr.pdf,334,rfeit parts of é. ‘ by i quality are being made and sold as “Ford Parts.” mvid their use by. dealing with the authorized Ford   [Page 3] ON PE aeee -1
Q06,narrow_factual,How do I start a Model T Ford?,3,0.5388,True,ModelT-11-20-ocr.pdf,117,install a new one.   [Page 10] iin Ta i Se nt i This cut illustrates the principle of Ford Carburetion. » (Cut No. 7)
Q06,narrow_factual,How do I start a Model T Ford?,4,0.5378,True,Ford-Model-T-Man-1919.txt,69,ceeaee ba eeeeeces reer er rrr  The Ford Starting and Highting System
Q06,narrow_factual,How do I start a Model T Ford?,5,0.5324,True,ModelT-01-10.txt,288,"orised Ford . ‘agegt, Imitation, or “bogus” or counterfeit parts of é. ‘ by i quality are being made and sold as “Ford Parts.”  mvid their use by. dea"
Q06,narrow_factual,How do I start a Model T Ford?,6,0.5324,True,Ford-Model-T-Man-1919.txt,288,"orised Ford . ‘agegt, Imitation, or “bogus” or counterfeit parts of é. ‘ by i quality are being made and sold as “Ford Parts.”  mvid their use by. dea"
Q06,narrow_factual,How do I start a Model T Ford?,7,0.5288,True,ModelT-01-10.txt,492,"may be necessary. to prime it by pulling out the carburetor priming rod, which is located on the inatrument board. In order to. avoid flooding the eng"
Q06,narrow_factual,How do I start a Model T Ford?,8,0.5288,True,Ford-Model-T-Man-1919.txt,492,"may be necessary. to prime it by pulling out the carburetor priming rod, which is located on the inatrument board. In order to. avoid flooding the eng"
Q06,narrow_factual,How do I start a Model T Ford?,9,0.5199,True,ModelT-01-10.txt,476,"e authorized Ford    ON PE aeee  -1 a ~y  The Car and Its Operation  What must be done before « starting the Car? Answog No, 1  Before trying to start"
Q06,narrow_factual,How do I start a Model T Ford?,10,0.5199,True,Ford-Model-T-Man-1919.txt,476,"e authorized Ford    ON PE aeee  -1 a ~y  The Car and Its Operation  What must be done before « starting the Car? Answog No, 1  Before trying to start"
Q07,procedural,How do I check and fill the radiator on a Model T?,1,0.5462,True,ModelT-01-10.txt,427,ign matter from getting in and obstructing the small tubes of the radiator. The system will hold approxi- mately three gallons. It is important that t
Q07,procedural,How do I check and fill the radiator on a Model T?,2,0.5462,True,Ford-Model-T-Man-1919.txt,427,ign matter from getting in and obstructing the small tubes of the radiator. The system will hold approxi- mately three gallons. It is important that t
Q07,procedural,How do I check and fill the radiator on a Model T?,3,0.5248,True,ModelT-01-10-ocr.pdf,496,e gallons. It is important that the car ahould not. be run under own power unless the water circulating system haa been filled. Pour in the wai until 
Q07,procedural,How do I check and fill the radiator on a Model T?,4,0.5248,True,Ford-Model-T-Man-1919-ocr.pdf,496,e gallons. It is important that the car ahould not. be run under own power unless the water circulating system haa been filled. Pour in the wai until 
Q07,procedural,How do I check and fill the radiator on a Model T?,5,0.5209,True,ModelT-01-10.txt,476,"e authorized Ford    ON PE aeee  -1 a ~y  The Car and Its Operation  What must be done before « starting the Car? Answog No, 1  Before trying to start"
Q07,procedural,How do I check and fill the radiator on a Model T?,6,0.5209,True,Ford-Model-T-Man-1919.txt,476,"e authorized Ford    ON PE aeee  -1 a ~y  The Car and Its Operation  What must be done before « starting the Car? Answog No, 1  Before trying to start"
Q07,procedural,How do I check and fill the radiator on a Model T?,7,0.5065,True,ModelT-01-10-ocr.pdf,498,"« starting the Car? Answog No, 1 Before trying to start the car, fill the radiator (by rem cap at top). with clean fresh water. If perfectly clean wat"
Q07,procedural,How do I check and fill the radiator on a Model T?,8,0.5065,True,Ford-Model-T-Man-1919-ocr.pdf,498,"« starting the Car? Answog No, 1 Before trying to start the car, fill the radiator (by rem cap at top). with clean fresh water. If perfectly clean wat"
Q07,procedural,How do I check and fill the radiator on a Model T?,9,0.4756,True,ModelT-11-20.txt,445,otor and also the radiator connection attached to the radiator. Remove the 15 cap screws which hold the cylinder head in place. Take off the cylinder 
Q07,procedural,How do I check and fill the radiator on a Model T?,10,0.4756,True,Ford-Model-T-Man-1919.txt,445,otor and also the radiator connection attached to the radiator. Remove the 15 cap screws which hold the cylinder head in place. Take off the cylinder 
Q08,narrow_factual,What does the hand throttle lever do on a Model T?,1,0.604,True,ModelT-01-10-ocr.pdf,396,ll of a very rich gasoline vapor. This should not. Gone unless the car is going to stand over night or long enough to cool off. Tf th thotor is stoppe
Q08,narrow_factual,What does the hand throttle lever do on a Model T?,2,0.604,True,Ford-Model-T-Man-1919-ocr.pdf,396,ll of a very rich gasoline vapor. This should not. Gone unless the car is going to stand over night or long enough to cool off. Tf th thotor is stoppe
Q08,narrow_factual,What does the hand throttle lever do on a Model T?,3,0.6008,True,ModelT-01-10.txt,456,"in this way and then started when hot, starting is apt to be dif ficult on account of the surplus gasoline in the carburetor.  What function does the "
Q08,narrow_factual,What does the hand throttle lever do on a Model T?,4,0.6008,True,Ford-Model-T-Man-1919.txt,456,"in this way and then started when hot, starting is apt to be dif ficult on account of the surplus gasoline in the carburetor.  What function does the "
Q08,narrow_factual,What does the hand throttle lever do on a Model T?,5,0.5778,True,ModelT-01-10-ocr.pdf,492,buretor. What function does the a Hand Lever perform? Answer No. $ Tes chief purpose is to hold the clutch in neutral position. If it were not for thi
Q08,narrow_factual,What does the hand throttle lever do on a Model T?,6,0.5778,True,Ford-Model-T-Man-1919-ocr.pdf,492,buretor. What function does the a Hand Lever perform? Answer No. $ Tes chief purpose is to hold the clutch in neutral position. If it were not for thi
Q08,narrow_factual,What does the hand throttle lever do on a Model T?,7,0.5507,True,ModelT-01-10-ocr.pdf,511,"hen it leaves the factéry. However, it will be well to see that all grease cupe are filled and that oil is supplied tomecessary parts, (See Cut No. 18"
Q08,narrow_factual,What does the hand throttle lever do on a Model T?,8,0.5507,True,Ford-Model-T-Man-1919-ocr.pdf,511,"hen it leaves the factéry. However, it will be well to see that all grease cupe are filled and that oil is supplied tomecessary parts, (See Cut No. 18"
Q08,narrow_factual,What does the hand throttle lever do on a Model T?,9,0.5443,True,ModelT-01-10.txt,389,uadrant (the notched half-circle on which the levers operate). The throttle should usually be opened about five or six notches. A little experience wi
Q08,narrow_factual,What does the hand throttle lever do on a Model T?,10,0.5443,True,Ford-Model-T-Man-1919.txt,389,uadrant (the notched half-circle on which the levers operate). The throttle should usually be opened about five or six notches. A little experience wi
Q09,off_topic,What is the latest iPhone model released by Apple?,1,0.1342,False,ModelT-41-50.txt,2,nd
Q09,off_topic,What is the latest iPhone model released by Apple?,2,0.114,False,ModelT-51-60-ocr.pdf,431,nst the commutator with the fingera until all dirt h&s been removed a bright surface attained. How are the Lights | operated? . Answer No. 126 The lig
Q09,off_topic,What is the latest iPhone model released by Apple?,3,0.114,False,Ford-Model-T-Man-1919-ocr.pdf,431,nst the commutator with the fingera until all dirt h&s been removed a bright surface attained. How are the Lights | operated? . Answer No. 126 The lig
Q09,off_topic,What is the latest iPhone model released by Apple?,4,0.1065,False,ModelT-21-30-ocr.pdf,281,which holds each in oaete 6 ' the trouble tea week current catiecd by w v crank case cover. Co eae nee eaee after f regnoved.   [Page 10] Stow Speed O
Q09,off_topic,What is the latest iPhone model released by Apple?,5,0.1064,False,Ford-Model-T-Man-1919-ocr.pdf,281,which holds each in oaete 6 ' the trouble tea week current catiecd by w v crank case cover. Co eae nee eaee after f regnoved.   [Page 30] Stow Speed O
Q09,off_topic,What is the latest iPhone model released by Apple?,6,0.1033,False,ModelT-21-30.txt,180,"o eae nee eaee after f regnoved.    Stow Speed Or 7 uch. Bases, Flywheel — ee x . . Clutch Dise Drum Fly Wheel | | a Ring Gear  Transmission showing a"
Q09,off_topic,What is the latest iPhone model released by Apple?,7,0.0972,False,ModelT-31-40.txt,270,rom the other I it is thapeed gear of the car. Tt sends the ear formats) ah low aid high epeeds and by ie thc car la reversed.  Whatis meant by the te
Q09,off_topic,What is the latest iPhone model released by Apple?,8,0.0959,False,ModelT-01-10.txt,426,toward ¢ the driver (referred to as “opening the throttle”) the faster the engine runs. and explodes: the gas in the cylinde:  1 of the engine. ‘The a
Q09,off_topic,What is the latest iPhone model released by Apple?,9,0.0959,False,Ford-Model-T-Man-1919.txt,426,toward ¢ the driver (referred to as “opening the throttle”) the faster the engine runs. and explodes: the gas in the cylinde:  1 of the engine. ‘The a
Q09,off_topic,What is the latest iPhone model released by Apple?,10,0.0847,False,ModelT-01-10.txt,402,"For Owners and Operators  of Ford Cars and Trucks  Published by J FORD MOTOR. COMPANY Detroit, Michigan, U.S. A. .    Ss Foreword  ' is a significant "
Q10,ambiguous,How does the Ford engine work?,1,0.5868,True,Ford-Model-T-Man-1919-ocr.pdf,511,rs be a install a new one.   [Page 20] iin Ta i Se nt i This cut illustrates the principle of Ford Carburetion. » (Cut No. 7)   [Page 21] - . aa - ' a
Q10,ambiguous,How does the Ford engine work?,2,0.566,True,Ford-Model-T-Man-1919.txt,512,This cut illustrates the principle of Ford Carburetion.  »  (Cut No. 7)   - . aa - ' a  The Gasoline System The Carburetor—how  does it work? Answer N
Q10,ambiguous,How does the Ford engine work?,3,0.5559,True,ModelT-21-30.txt,512,"ts in running the cer. In the Ford car the ignition ayetem is as aimple.ag it is ‘N possible for human invention to make it, |  How does the Magneto g"
Q10,ambiguous,How does the Ford engine work?,4,0.5559,True,Ford-Model-T-Man-1919.txt,512,"ts in running the cer. In the Ford car the ignition ayetem is as aimple.ag it is ‘N possible for human invention to make it, |  How does the Magneto g"
Q10,ambiguous,How does the Ford engine work?,5,0.5541,True,ModelT-01-10.txt,434,in that condition.  7”  : to _ es Pa toy a oa a of   _ The Ford Engine  What ts the principle of the  gasoline-driven Engine?  Gasoline when mixed wit
Q10,ambiguous,How does the Ford engine work?,6,0.5541,True,Ford-Model-T-Man-1919.txt,434,in that condition.  7”  : to _ es Pa toy a oa a of   _ The Ford Engine  What ts the principle of the  gasoline-driven Engine?  Gasoline when mixed wit
Q10,ambiguous,How does the Ford engine work?,7,0.5505,True,ModelT-11-20.txt,372,"the pistons in their sores as indice ted above. The firing order of the cylinders is 1, 2, 4, 3. ut No.    12 THE FORD MANUAL  now being properly set,"
Q10,ambiguous,How does the Ford engine work?,8,0.5505,True,Ford-Model-T-Man-1919.txt,372,"the pistons in their sores as indice ted above. The firing order of the cylinders is 1, 2, 4, 3. ut No.    12 THE FORD MANUAL  now being properly set,"
Q10,ambiguous,How does the Ford engine work?,9,0.5502,True,ModelT-01-10-ocr.pdf,436,requires but little time and may. avoid delay or possible accident on the road. We aim 19°. deli t f e r mechanical adjustment. Afterwards it is plain
Q10,ambiguous,How does the Ford engine work?,10,0.5502,True,Ford-Model-T-Man-1919-ocr.pdf,436,requires but little time and may. avoid delay or possible accident on the road. We aim 19°. deli t f e r mechanical adjustment. Afterwards it is plain
